video_rank,well,neuron_id,manual_identity,manual_single_soma,manual_roi_quality,manual_puncta_display,manual_diffuse_display,final_manual_status,manual_notes,valid_days,mean_template_match_score,fixed_support_area,tracking_valid_days_original,adaptive_valid_days_recomputed,identity_core_area,phenotype_roi_area,identity_consensus_fraction,identity_consensus_required,identity_valid_masks_used,phenotype_dilation_px,single_soma_pass,secondary_soma_score,secondary_soma_distance_px,secondary_soma_area_ratio,secondary_peak_ratio,candidate_peaks_detected,auto_phenotype_use,phenotype_video,identity_qc_png
1,I05,I05_N049,,,,,,,,9,0.9551516419228704,621,9,6,340,466,0.6,4,6,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N049_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N049_tight_identity_qc.png
2,N05,N05_N036,,,,,,,,9,0.952615545533574,536,9,7,333,461,0.6,5,7,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N036_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N036_tight_identity_qc.png
3,F05,F05_N038,,,,,,,,9,0.9516023882758448,647,9,5,396,532,0.6,3,5,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N038_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N038_tight_identity_qc.png
4,F05,F05_N051,,,,,,,,9,0.9396159348888372,456,9,9,299,421,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N051_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N051_tight_identity_qc.png
5,I05,I05_N037,,,,,,,,9,0.9347475969956598,826,9,7,543,703,0.6,5,7,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N037_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N037_tight_identity_qc.png
6,N05,N05_N012,,,,,,,,9,0.9146683478995236,811,9,8,416,556,0.6,5,8,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N012_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N012_tight_identity_qc.png
7,J05,J05_N015,,,,,,,,9,0.9097693366045856,372,9,9,216,318,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/J05_N015_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/J05_N015_tight_identity_qc.png
8,E05,E05_N071,,,,,,,,9,0.9076242609961744,476,9,9,311,433,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/E05_N071_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/E05_N071_tight_identity_qc.png
9,J05,J05_N004,,,,,,,,9,0.9073600996629406,623,9,7,399,535,0.6,5,7,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/J05_N004_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/J05_N004_tight_identity_qc.png
10,F05,F05_N037,,,,,,,,9,0.905951206177808,468,9,9,315,437,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N037_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N037_tight_identity_qc.png
11,M05,M05_N042,,,,,,,,9,0.9008544072876166,1006,9,8,516,696,0.6,5,8,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N042_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N042_tight_identity_qc.png
12,I05,I05_N059,,,,,,,,9,0.8981860014711757,1026,9,4,408,554,0.6,3,4,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N059_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N059_tight_identity_qc.png
