well,n_days,n_large_shifts,max_shift_px,median_shift_px,min_overlap_fraction,classification
K20,9,8,1431.3,701.6,0.5009414225941423,high_drift_or_erratic
L19,9,8,1430.6,465.8,0.5011854951185495,high_drift_or_erratic
D06,9,8,1426.5,867.9,0.5026150627615062,high_drift_or_erratic
J18,9,8,1423.0,913.3,0.5038354253835425,high_drift_or_erratic
E15,9,8,1421.3,981.7,0.5044281729428173,high_drift_or_erratic
L16,9,8,1420.5,384.6,0.5047071129707112,high_drift_or_erratic
F12,9,8,1415.4,618.0,0.5064853556485356,high_drift_or_erratic
D05,9,8,1404.0,569.5,0.5104602510460251,high_drift_or_erratic
I12,9,8,1403.9,713.5,0.5104951185495118,high_drift_or_erratic
C12,9,8,1403.5,777.7,0.5106345885634589,high_drift_or_erratic
H19,9,8,1401.8,846.3,0.5112273361227336,high_drift_or_erratic
F18,9,8,1400.1,742.3,0.5118200836820084,high_drift_or_erratic
L08,9,8,1397.9,653.2,0.5125871687587169,high_drift_or_erratic
E09,9,8,1394.5,776.8,0.5137726638772664,high_drift_or_erratic
M16,9,8,1388.3,589.5,0.515934449093445,high_drift_or_erratic
D15,9,8,1378.2,570.9,0.5194560669456066,high_drift_or_erratic
G18,9,8,1376.9,931.2,0.5199093444909344,high_drift_or_erratic
L18,9,8,1366.0,362.8,0.5237099023709902,high_drift_or_erratic
E11,9,8,1355.7,972.0,0.5273012552301255,high_drift_or_erratic
L15,9,8,1355.6,583.5,0.5273361227336123,high_drift_or_erratic
F07,9,8,1351.3,787.8,0.5288354253835426,high_drift_or_erratic
M14,9,8,1348.0,562.4,0.5299860529986054,high_drift_or_erratic
F13,9,8,1347.4,597.4,0.5301952580195258,high_drift_or_erratic
N10,9,8,1343.3,1103.6,0.5316248256624826,high_drift_or_erratic
C20,9,8,1342.5,388.7,0.5319037656903766,high_drift_or_erratic
M09,9,8,1341.4,505.8,0.5322873082287308,high_drift_or_erratic
F19,9,8,1331.1,507.1,0.5358786610878661,high_drift_or_erratic
M13,9,8,1327.1,600.6,0.5372733612273362,high_drift_or_erratic
E13,9,8,1325.2,599.9,0.5379358437935843,high_drift_or_erratic
I18,9,8,1325.0,427.2,0.5380055788005579,high_drift_or_erratic
F16,9,8,1313.9,647.9,0.5418758716875871,high_drift_or_erratic
J08,9,8,1312.3,480.1,0.5424337517433753,high_drift_or_erratic
F05,9,8,1303.6,522.8,0.5454672245467225,high_drift_or_erratic
H06,9,8,1296.3,969.6,0.5480125523012553,high_drift_or_erratic
L14,9,8,1294.4,640.7,0.5486750348675035,high_drift_or_erratic
N05,9,8,1287.2,795.4,0.5511854951185494,high_drift_or_erratic
K14,9,8,1268.1,694.9,0.5578451882845189,high_drift_or_erratic
