well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E09,E,09,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,36251,799184.0,585524.0,16.554723739624023,213660.0,44,0.001213759620390782,223.3201252330433,15.5,2.7404474398448917,2.7404474398448917,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,39038,1039935.0,781587.0,20.513017654418945,258348.0,45,0.0011527229878284563,256.86426628960504,17.0,3.0253263040432854,3.0253263040432854,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,41737,1553736.0,1148366.0,28.179378509521484,405370.0,48,0.0011500587008853042,375.1082928975423,13.5,2.8328835384887068,2.8328835384887068,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,28912,1012168.0,761749.0,26.973159790039062,250419.0,37,0.00127974543437743,353.1210005476668,14.0,3.0418977793097093,3.0418977793097093,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,23510,733552.0,574281.0,24.976341247558594,159271.0,29,0.0012335176520104842,269.8162868105132,14.0,3.605684650667066,3.605684650667066,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,56484,2131364.0,1673275.0,30.314050674438477,458089.0,86,0.0015225550598129993,330.77646725676783,13.5,3.6527290548263487,3.6527290548263487,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE09_Channel405nm Binned,561 nm,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,36928,1607887.0,1232823.0,34.15022277832031,375064.0,49,0.0013269064124424039,395.54258198640787,11.0,3.2869670242857567,3.2869670242857567,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,50852,2266612.0,1771265.0,35.6384162902832,495347.0,70,0.0013765436954028053,389.7925131661551,12.0,3.5758064548617923,3.5758064548617923,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,36329,1835626.0,1412842.0,39.82529067993164,422784.0,63,0.0017341517795223058,470.055911109561,11.0,3.341758439289704,3.341758439289704,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,93527,2162612.0,1576261.0,17.254995346069336,586351.0,101,0.001079902060356048,248.1445033007329,18.0,2.6882549871959145,2.6882549871959145,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,107375,2840944.0,2155436.0,20.557329177856445,685508.0,118,0.0010989522700712556,234.7416630761098,14.0,3.1442900739259874,3.1442900739259874,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,94941,2927253.0,2115699.0,22.828493118286133,811554.0,93,0.000979555724070954,323.1086681735131,18.0,2.6069725489584092,2.6069725489584092,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,133729,4372365.0,3245838.0,24.8563232421875,1126527.0,138,0.0010319377247939344,324.90565678693247,16.5,2.8812784780099534,2.8812784780099534,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
