well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
C12,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,12,488nm Binned,-585.4,0.0,0.012174772755315935,0.005295419977356196,0.7958856345885634,0.9999999999999933,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,16,488nm Binned,0.0,-1005.5,0.012688266654123979,-0.01174053957454666,0.6494072524407253,0.9999999999999886,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,20,488nm Binned,0.0,1399.3,0.012783482993369155,0.01402277213315999,0.5120990237099025,0.9999999999999835,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,25,488nm Binned,0.0,1403.5,0.00915393815712165,0.02201648820372866,0.5106345885634589,0.9999999999999851,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,29,488nm Binned,0.0,742.5,0.005869594659254422,0.005018092329163945,0.7411087866108786,0.9999999999999838,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,32,488nm Binned,0.0,1057.7,0.013659469632710987,0.02291993304635838,0.6312064156206415,0.9999999999999678,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,36,488nm Binned,0.0,-777.7,0.016987845328440835,-0.00877335535296275,0.7288354253835426,0.9999999999999932,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,39,488nm Binned,0.0,-220.0,0.005406507042753038,0.007908164227116122,0.9232914923291492,0.9999999999999913,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 1404, 'x_stop': 1862}"
C13,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,12,488nm Binned,-904.8,0.0,-0.0011993063209156717,-0.0029965348011485324,0.6845188284518829,0.999999999999994,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,16,488nm Binned,0.0,1081.1,0.008202631422445978,0.004042428483473928,0.623047419804742,0.9999999999999903,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,20,488nm Binned,-154.9,0.0,-0.0019690805670471846,-0.0027375368854588964,0.9459902370990236,0.9999999999999792,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,25,488nm Binned,-613.3,0.0,0.0011503734294847627,0.0009298957173071238,0.78615760111576,0.9999999999999827,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,29,488nm Binned,-1041.5,0.0,0.006948409533491246,0.0027007092449975074,0.6368549511854951,0.9999999999999771,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,32,488nm Binned,-1007.8,0.0,-0.0017735055839644685,-0.006799078742252161,0.6486052998605301,0.9999999999999695,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,36,488nm Binned,0.0,-94.4,0.00032315832159283573,-0.0013880257857283044,0.9670850767085076,0.9999999999999909,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
C13,PLD3_only_no_mCherry,39,488nm Binned,-100.6,0.0,0.0012705868249926011,-0.007730097268900138,0.9649232914923291,0.9999999999999752,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1826, 'x_start': 1082, 'x_stop': 2773}"
