well,row,column,condition,mcherry_analysis_valid,day,path,file_name,file_size_bytes,inferred_channel,site_fov
C05,C,05,PLD3_only_no_mCherry,False,8,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260216_Day8_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,12,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260220_085237_196/260220_Day12_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260220_Day12_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,16,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260224_090320_759/260224_day16_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260224_day16_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,20,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260228_090815_318/260228_day20_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260228_day20_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,25,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260305_171612_406/260305_day25_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260305_day25_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49688576,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,29,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260309_090353_210/260309_Day29_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260309_Day29_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49688576,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,32,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260312_083635_497/260312_Day32_WellC05_Channel405nm Binned,561 nm,488nm Binned_Seq0000.nd2","260312_Day32_WellC05_Channel405nm Binned,561 nm,488nm Binned_Seq0000.nd2",49688576,405nm Binned|561 nm|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,36,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260316_093139_667/260316_Day36_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260316_Day36_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49700864,405nm Binned|561nm Binned|488nm Binned,Seq0000
C05,C,05,PLD3_only_no_mCherry,False,39,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260319_083746_585/260319_Day39_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260319_Day39_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0000
C06,C,06,PLD3_only_no_mCherry,False,8,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260216_Day8_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0001
C06,C,06,PLD3_only_no_mCherry,False,12,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260220_085237_196/260220_Day12_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260220_Day12_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0001
C06,C,06,PLD3_only_no_mCherry,False,16,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260224_090320_759/260224_day16_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260224_day16_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0001
C06,C,06,PLD3_only_no_mCherry,False,20,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260228_090815_318/260228_day20_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260228_day20_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",49692672,405nm Binned|561nm Binned|488nm Binned,Seq0001
C06,C,06,PLD3_only_no_mCherry,False,25,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260305_171612_406/260305_day25_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260305_day25_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",49688576,405nm Binned|561nm Binned|488nm Binned,Seq0001
C06,C,06,PLD3_only_no_mCherry,False,29,"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260309_090353_210/260309_Day29_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260309_Day29_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",49688576,405nm Binned|561nm Binned|488nm Binned,Seq0001
