summary_type,condition,day,wells,observations,qc_pass,qc_total,mean_overlap_fraction,mean_diffuse_to_punctate_ratio,median_diffuse_to_punctate_ratio,mean_puncta_count
registration_qc,PLD3_TMEM106B_mCherry_primary,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,12,48,48,48.0,48.0,0.8156373489074848,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,16,48,48,48.0,48.0,0.8190819676894469,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,20,48,48,48.0,48.0,0.7752244597563198,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,25,48,48,48.0,48.0,0.7713152982296109,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,29,48,48,48.0,48.0,0.8397124380508126,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,32,48,48,48.0,48.0,0.7366125644911031,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,36,48,48,48.0,48.0,0.7742932066480707,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,39,48,48,48.0,48.0,0.7590626415073962,,,
registration_qc,PLD3_TMEM106B_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_no_mCherry,12,48,48,48.0,48.0,0.8245314679218968,,,
registration_qc,PLD3_TMEM106B_no_mCherry,16,48,48,48.0,48.0,0.7888111634123662,,,
registration_qc,PLD3_TMEM106B_no_mCherry,20,48,48,48.0,48.0,0.8024988377498837,,,
registration_qc,PLD3_TMEM106B_no_mCherry,25,48,48,48.0,48.0,0.8260474779172479,,,
registration_qc,PLD3_TMEM106B_no_mCherry,29,48,48,48.0,48.0,0.764878980706648,,,
registration_qc,PLD3_TMEM106B_no_mCherry,32,48,48,48.0,48.0,0.7866580950720595,,,
registration_qc,PLD3_TMEM106B_no_mCherry,36,48,48,48.0,48.0,0.7667545618317062,,,
registration_qc,PLD3_TMEM106B_no_mCherry,39,48,48,48.0,48.0,0.7496658530915855,,,
registration_qc,PLD3_mCherry_reporter_control,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_mCherry_reporter_control,12,48,48,48.0,48.0,0.8245888540213855,,,
registration_qc,PLD3_mCherry_reporter_control,16,48,48,48.0,48.0,0.8327137087401209,,,
registration_qc,PLD3_mCherry_reporter_control,20,48,48,48.0,48.0,0.7839064684791124,,,
registration_qc,PLD3_mCherry_reporter_control,25,48,48,48.0,48.0,0.7840686145277536,,,
registration_qc,PLD3_mCherry_reporter_control,29,48,48,48.0,48.0,0.7878726465701545,,,
registration_qc,PLD3_mCherry_reporter_control,32,48,48,48.0,48.0,0.7810226370245473,,,
registration_qc,PLD3_mCherry_reporter_control,36,48,48,48.0,48.0,0.7941867307539404,,,
registration_qc,PLD3_mCherry_reporter_control,39,48,48,47.0,48.0,0.7576296018803003,,,
registration_qc,PLD3_only_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_only_no_mCherry,12,48,48,48.0,48.0,0.7833020978614599,,,
registration_qc,PLD3_only_no_mCherry,16,48,48,48.0,48.0,0.7718912904216245,,,
registration_qc,PLD3_only_no_mCherry,20,48,48,47.0,48.0,0.7425223491011931,,,
registration_qc,PLD3_only_no_mCherry,25,48,48,48.0,48.0,0.7942875409826898,,,
registration_qc,PLD3_only_no_mCherry,29,48,48,48.0,48.0,0.7801522680370844,,,
registration_qc,PLD3_only_no_mCherry,32,48,48,48.0,48.0,0.7938910150457493,,,
registration_qc,PLD3_only_no_mCherry,36,48,48,48.0,48.0,0.8038028651319372,,,
registration_qc,PLD3_only_no_mCherry,39,48,48,48.0,48.0,0.8318747094374709,,,
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,8,48,48,,,,3.292434117160662,3.2456572382541045,304.9166666666667
