well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E07,E,07,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,403533,7389350.0,5498898.0,13.961129188537598,1890452.0,468,0.0011597564511423855,170.68779878534824,17.0,2.9087741979151502,2.9087741979151502,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,234763,4113731.0,3078281.0,13.425683975219727,1035450.0,216,0.0009200768434509694,147.99546003341675,17.0,2.9728919793297863,2.9728919793297863,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,315377,6118786.0,4299007.0,13.965160369873047,1819779.0,234,0.00074196913534994,189.55112933297443,19.0,2.3623786185012783,2.3623786185012783,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,316979,6118550.0,4242708.0,13.718060493469238,1875842.0,253,0.0007981601304793119,202.10427165879562,20.0,2.2617619181134327,2.2617619181134327,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,92337,2151384.0,1738623.0,19.25129508972168,412761.0,123,0.0013320770655172675,179.26110163742933,12.0,4.212178476153968,4.212178476153968,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,185856,5349123.0,4068175.0,22.389638900756836,1280948.0,233,0.0012536587465497284,280.0409689317957,15.0,3.175909560729104,3.175909560729104,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE07_Channel405nm Binned,561 nm,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,263919,6850493.0,5150986.0,19.97977638244629,1699507.0,321,0.0012162822684186577,250.05083177988402,15.0,3.030870717212091,3.030870717212091,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,329927,9401982.0,7097399.0,22.024648666381836,2304583.0,373,0.0011305531223539432,262.27270767580086,16.0,3.0796890370175087,3.0796890370175087,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,355217,11195698.0,8592576.0,24.78139305114746,2603122.0,369,0.0010388016339278841,268.68279748105095,16.0,3.3008733359391913,3.3008733359391913,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,807986,19047474.0,13420733.0,17.015817642211914,5626741.0,906,0.0011213065572904465,271.8663927882449,18.0,2.3851698523172855,2.3851698523172855,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
