well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,large_shift,reanchored,anchor_ref_day,n_reanchors,anchor_churn,well_registration_qc_pass,qc_note,row,column,common_crop
C11,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,12,488nm Binned,-93.0,-134.0,0.0023626865814253242,0.1940116914361391,0.9223658257616871,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,16,488nm Binned,-43.0,-40.0,0.004099326996584051,0.16515642783484644,0.9712690798674938,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,20,488nm Binned,-77.0,-155.0,0.0018012704791956118,0.1292252564250742,0.9205583809418214,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,25,488nm Binned,86.0,5.0,0.003321004708739019,0.10273499860933996,0.9683228487674314,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,29,488nm Binned,57.0,-18.0,0.003972358265879109,0.3021647446395166,0.9739741075961555,,True,False,True,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,32,488nm Binned,442.0,-172.0,-2.4145354771229263e-05,0.17918520603274082,0.7951560916495004,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,36,488nm Binned,-107.0,-181.0,-0.0008583210065350766,0.13442827313358766,0.9019361190377542,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C11,PLD3_only_no_mCherry,39,488nm Binned,745.0,-138.0,-0.004060252552896731,0.2216978939233089,0.7046189959326109,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2694}"
C09,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,12,488nm Binned,-73.0,-134.0,0.006456895071075886,0.16571547526470565,0.9290135073887984,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,16,488nm Binned,-34.0,-40.0,0.010103279819279906,0.1474276621694451,0.974363388440523,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,20,488nm Binned,-54.0,-156.0,0.007584727350684916,0.12073548415792976,0.9278023844120376,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,25,488nm Binned,89.0,5.0,0.009271514848383414,0.3069600209597176,0.967278647277028,,True,False,True,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,29,488nm Binned,56.0,-17.0,0.004636326419999118,0.26424955024580365,0.974662461169175,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,32,488nm Binned,465.0,-170.0,0.0005846888548933602,0.1804610167771657,0.7882017996883808,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,36,488nm Binned,-87.0,-183.0,0.0021354996871289487,0.15006449693205867,0.9077933246966965,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C09,PLD3_only_no_mCherry,39,488nm Binned,793.0,-138.0,-0.0010380959672703183,0.19150139872265548,0.6886879022892923,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2695}"
C06,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,12,488nm Binned,-46.0,-133.0,0.0029520026749986824,0.1834163677911541,0.9383309602033889,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,16,488nm Binned,-27.0,-39.0,0.008658621988207452,0.16099918324547005,0.9771154654155214,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,20,488nm Binned,-19.0,-153.0,0.003843631601860354,0.1256205701697535,0.9403813104345745,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,25,488nm Binned,80.0,8.0,0.00698900340763183,0.10832345597311781,0.9693944044708211,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,29,488nm Binned,56.0,-16.0,0.0050055803071655455,0.10049766426535289,0.9750043280443659,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,32,488nm Binned,499.0,-168.0,0.004912021387678137,0.23555420492619217,0.7776255667792931,,True,False,True,29,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,36,488nm Binned,-53.0,-181.0,0.007948612557774834,0.1936667719130384,0.9195763039084672,,True,False,False,29,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,39,488nm Binned,867.0,-137.0,0.005238245368951248,0.15289667629598785,0.6643707363900025,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 8, 'x_stop': 2697}"
C14,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,12,488nm Binned,-122.0,-137.0,0.0028356877076774084,0.1608006788882169,0.9117251584842313,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,16,488nm Binned,-51.0,-41.0,0.01107565742263766,0.13509511375117036,0.9681761086115439,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,20,488nm Binned,-115.0,-160.0,-0.0023997237363578613,0.10735165317952453,0.9063513321623299,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,25,488nm Binned,90.0,5.0,0.011644318219624254,0.2894491450234579,0.9669305801135601,,True,False,True,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,29,488nm Binned,55.0,-20.0,0.014129351032132798,0.24442842838921422,0.973983104092871,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,32,488nm Binned,407.0,-174.0,0.009365971860367278,0.1864120175868949,0.8060294520987611,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,36,488nm Binned,-140.0,-182.0,0.004545222571886813,0.1532946542053545,0.8908243514255314,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,39,488nm Binned,671.0,-141.0,0.0044153059691734555,0.21672169769609573,0.7283781358869768,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2728, 'x_start': 5, 'x_stop': 2692}"
C08,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,12,488nm Binned,-66.0,-135.0,-0.0005167171213101545,0.1905523466479445,0.9309995448258959,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,16,488nm Binned,-34.0,-41.0,0.010362369280446475,0.1493628991046402,0.9740188469311734,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,20,488nm Binned,-41.0,-153.0,0.005744596377883628,0.1187088208393938,0.933119678693767,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,25,488nm Binned,82.0,7.0,0.00016751475645644702,0.10230046663811708,0.9690377055334777,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,29,488nm Binned,56.0,-17.0,0.011925258634046275,0.3326551084188686,0.974662461169175,,True,False,True,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,32,488nm Binned,476.0,-168.0,0.007915125029749151,0.14574544699287142,0.7851753295635581,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,36,488nm Binned,-76.0,-182.0,0.001204053636685862,0.1477862896115204,0.9117234564443122,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,39,488nm Binned,817.0,-138.0,0.006565424097336638,0.17922482413349525,0.680722355467633,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 545, 'y_stop': 2792, 'x_start': 7, 'x_stop': 2697}"
C13,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2743, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,12,488nm Binned,-113.0,-136.0,-0.0008432175036414658,0.16374002809765537,0.9150482698521073,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2743, 'x_start': 6, 'x_stop': 2696}"
