well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E07,E,07,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,403478,7394251.0,5500629.0,13.96772289276123,1893622.0,470,0.0011648714428019252,170.96937775307512,17.0,2.904818913171211,2.904818913171211,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,234640,4114650.0,3077834.0,13.431056022644043,1036816.0,217,0.0009248210023826934,148.48625058292794,17.0,2.9685440811069963,2.9685440811069963,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,315600,6133243.0,4311162.0,13.994462013244629,1822081.0,236,0.0007477820025324849,190.6044728230622,18.5,2.3660649553985986,2.3660649553985986,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,316639,6121107.0,4244025.0,13.736931800842285,1877082.0,251,0.0007927008359652706,201.70269471430683,20.0,2.26096941955532,2.26096941955532,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,230669,2655341.0,1932046.0,8.580235481262207,723295.0,224,0.0009710884427427566,104.19188845157623,15.5,2.671172896255786,2.671172896255786,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,331111,5705449.0,3879274.0,12.001850128173828,1826175.0,315,0.000951342601118805,195.01796303400917,18.0,2.1242619135613374,2.1242619135613374,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE07_Channel405nm Binned,561 nm,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,311653,6947029.0,5063984.0,16.643936157226562,1883045.0,353,0.0011326699887338396,224.49626084022415,17.0,2.6892527794063925,2.6892527794063925,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,447279,9577555.0,6855500.0,15.701332092285156,2722055.0,418,0.0009345397391763652,214.55136968074234,18.0,2.5185016467328847,2.5185016467328847,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,504085,11106227.0,8026230.0,16.31553077697754,3079997.0,404,0.0008014521360468939,211.4542410822198,20.0,2.6059213694030854,2.6059213694030854,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,648226,15923233.0,11369976.0,17.964147567749023,4553257.0,725,0.0011184370882977258,272.5550763570851,17.0,2.497108333660389,2.497108333660389,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,584213,15256240.0,11490423.0,20.135215759277344,3765817.0,647,0.0011074727881763887,243.84893239889485,15.0,3.051243063589375,3.051243063589375,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
