well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,large_shift,reanchored,anchor_ref_day,n_reanchors,anchor_churn,well_registration_qc_pass,qc_note,row,column,common_crop
C08,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,12,488nm Binned,-66.0,-135.0,-0.0005167171213101545,0.1905523466479445,0.9309995448258959,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,16,488nm Binned,-34.0,-41.0,0.010362369280446475,0.1493628991046402,0.9740188469311734,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,20,488nm Binned,-41.0,-153.0,0.005744596377883628,0.1187088208393938,0.933119678693767,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,25,488nm Binned,81.99923539574957,6.950081134964421,0.00016751475645644702,0.10189615875935305,0.9690548793021391,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,29,488nm Binned,55.999235395749565,-17.04991886503558,0.011925258634046275,0.34367146655477143,0.9746456605762901,,True,False,True,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,32,488nm Binned,474.9605353441002,-168.1832175840682,0.007915125029749151,0.1634930749851902,0.7854632305473415,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,36,488nm Binned,-76.67715720007254,-181.95638361521196,0.001204053636685862,0.13940538312805462,0.9115171331194336,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C08,PLD3_only_no_mCherry,39,488nm Binned,816.3098174825573,-137.96132871759255,0.006565424097336638,0.24146446146910822,0.6809610714004627,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,08,"{'y_start': 544, 'y_stop': 2791, 'x_start': 7, 'x_stop': 2697}"
C07,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
C07,PLD3_only_no_mCherry,12,488nm Binned,-56.0,-132.0,0.012839034193741758,0.15138345476241313,0.9353477705222247,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
C07,PLD3_only_no_mCherry,16,488nm Binned,-27.0,-36.0,0.008449564667484324,0.16757202566657103,0.9781516430034488,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
C07,PLD3_only_no_mCherry,20,488nm Binned,-31.0,-150.0,0.004363831213614692,0.1320120507188113,0.9374551390907022,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
C07,PLD3_only_no_mCherry,25,488nm Binned,81.5953492644403,4.951029705145629,0.01882751017430765,0.12414155415425922,0.969872551994066,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
C07,PLD3_only_no_mCherry,29,488nm Binned,57.5953492644403,-20.04897029485437,0.020823403282092014,0.3981829698132066,0.9730677493282374,,True,False,True,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
C07,PLD3_only_no_mCherry,32,488nm Binned,485.87362323770503,-169.19094743144524,0.005978865062879458,0.15998384870352425,0.7815894025606964,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,07,"{'y_start': 559, 'y_stop': 2801, 'x_start': 5, 'x_stop': 2696}"
