summary_type,condition,day,wells,observations,qc_pass,qc_total,mean_overlap_fraction,mean_diffuse_to_punctate_ratio,median_diffuse_to_punctate_ratio,mean_puncta_count
registration_qc,PLD3_TMEM106B_mCherry_primary,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,12,48,48,48.0,48.0,0.9380011215835196,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,16,48,48,48.0,48.0,0.974562428331962,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,20,48,48,48.0,48.0,0.9404620205596697,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,25,48,48,48.0,48.0,0.9679880432769586,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,29,48,48,48.0,48.0,0.9751179060032188,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,32,48,48,48.0,48.0,0.8281810123049823,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,36,48,48,48.0,48.0,0.9207226372292169,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,39,48,48,48.0,48.0,0.7356848292199786,,,
registration_qc,PLD3_TMEM106B_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_no_mCherry,12,48,48,48.0,48.0,0.9319175724761019,,,
registration_qc,PLD3_TMEM106B_no_mCherry,16,48,48,48.0,48.0,0.972911685160546,,,
registration_qc,PLD3_TMEM106B_no_mCherry,20,48,48,48.0,48.0,0.9325754185032489,,,
registration_qc,PLD3_TMEM106B_no_mCherry,25,48,48,48.0,48.0,0.9679607462023863,,,
registration_qc,PLD3_TMEM106B_no_mCherry,29,48,48,48.0,48.0,0.9747889957968652,,,
registration_qc,PLD3_TMEM106B_no_mCherry,32,48,48,48.0,48.0,0.820674207563045,,,
registration_qc,PLD3_TMEM106B_no_mCherry,36,48,48,48.0,48.0,0.9137504432419364,,,
registration_qc,PLD3_TMEM106B_no_mCherry,39,48,48,48.0,48.0,0.7362540808215917,,,
registration_qc,PLD3_mCherry_reporter_control,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_mCherry_reporter_control,12,48,48,48.0,48.0,0.9349311810552258,,,
registration_qc,PLD3_mCherry_reporter_control,16,48,48,48.0,48.0,0.9736155622494355,,,
registration_qc,PLD3_mCherry_reporter_control,20,48,48,48.0,48.0,0.9364436512127927,,,
registration_qc,PLD3_mCherry_reporter_control,25,48,48,48.0,48.0,0.9677181804013099,,,
registration_qc,PLD3_mCherry_reporter_control,29,48,48,48.0,48.0,0.9746989724788927,,,
registration_qc,PLD3_mCherry_reporter_control,32,48,48,48.0,48.0,0.8241793963737253,,,
registration_qc,PLD3_mCherry_reporter_control,36,48,48,48.0,48.0,0.9172652896287735,,,
registration_qc,PLD3_mCherry_reporter_control,39,48,48,48.0,48.0,0.7376403516913689,,,
registration_qc,PLD3_only_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_only_no_mCherry,12,48,48,48.0,48.0,0.929004622335173,,,
registration_qc,PLD3_only_no_mCherry,16,48,48,48.0,48.0,0.9722140412863013,,,
registration_qc,PLD3_only_no_mCherry,20,48,48,48.0,48.0,0.9288733651703952,,,
registration_qc,PLD3_only_no_mCherry,25,48,48,48.0,48.0,0.9681780640242871,,,
registration_qc,PLD3_only_no_mCherry,29,48,48,48.0,48.0,0.9750298493515733,,,
registration_qc,PLD3_only_no_mCherry,32,48,48,48.0,48.0,0.8170335367678049,,,
registration_qc,PLD3_only_no_mCherry,36,48,48,48.0,48.0,0.9102283551215765,,,
registration_qc,PLD3_only_no_mCherry,39,48,48,48.0,48.0,0.7337511322114539,,,
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,8,48,48,,,,3.160532275345883,3.142382545339647,837.2291666666666
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,12,48,48,,,,4.598534730926342,4.588763220868145,750.2916666666666
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,16,48,48,,,,4.652630439808884,4.643819679435507,755.0833333333334
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,20,48,48,,,,5.009219366036747,5.024189798258144,839.6458333333334
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,25,48,48,,,,5.525595791101067,5.547509026093562,806.4791666666666
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,29,48,48,,,,4.985887899500244,4.952692411033988,1119.0
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,32,48,48,,,,4.916764304348147,4.939695920299368,1189.7291666666667
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,36,48,48,,,,4.942881419711493,4.8479323698161965,1255.8125
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,39,48,48,,,,5.375658392192008,5.351662531125095,1191.2083333333333
mcherry_valid_measurement,PLD3_mCherry_reporter_control,8,48,48,,,,2.478831210508061,2.476255008846306,825.0
mcherry_valid_measurement,PLD3_mCherry_reporter_control,12,48,48,,,,3.031694485166748,3.0266152105244073,720.1666666666666
mcherry_valid_measurement,PLD3_mCherry_reporter_control,16,48,48,,,,2.9673246589128457,2.996384017160998,777.0208333333334
mcherry_valid_measurement,PLD3_mCherry_reporter_control,20,48,48,,,,3.2981470576384986,3.3359768259469886,922.0625
mcherry_valid_measurement,PLD3_mCherry_reporter_control,25,48,48,,,,3.658642663944116,3.6694442553058533,846.8541666666666
mcherry_valid_measurement,PLD3_mCherry_reporter_control,29,48,48,,,,3.4089582360532593,3.4663101490599524,1116.7708333333333
mcherry_valid_measurement,PLD3_mCherry_reporter_control,32,48,48,,,,3.229734880531636,3.2285027215112647,1174.75
mcherry_valid_measurement,PLD3_mCherry_reporter_control,36,48,48,,,,3.154881913083782,3.1384683687347854,1249.3541666666667
mcherry_valid_measurement,PLD3_mCherry_reporter_control,39,48,48,,,,3.271332849215519,3.239480718020733,1170.9791666666667
