well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E08,E,08,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0035.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,579812,13952551.0,9986694.0,17.642621994018555,3965857.0,639,0.001102081364302391,259.4630651817262,18.0,2.518167952096478,2.518167952096478,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E08,E,08,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0035.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,541248,14403051.0,10851219.0,20.530010223388672,3551832.0,567,0.0010475789286961844,247.53328788259464,17.0,3.0551048022533007,3.0551048022533007,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E08,E,08,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0035.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,554939,20050496.0,14748313.0,27.2226619720459,5302183.0,605,0.001090209914961662,361.91524925547196,17.0,2.7815548803195247,2.7815548803195247,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,624156,14819714.0,10594771.0,17.38834571838379,4224943.0,688,0.0011022885304297287,258.1478673247404,17.5,2.5076719378219994,2.5076719378219994,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,590492,14253709.0,10580434.0,18.354310989379883,3673275.0,597,0.0010110213178146173,229.94212745142542,18.0,2.88038167575178,2.88038167575178,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E09,E,09,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0036.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,691215,24186880.0,17972108.0,26.630434036254883,6214772.0,749,0.0010835991695766387,345.748912021856,17.0,2.891837061761414,2.891837061761414,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,749133,17714938.0,12537442.0,17.144329071044922,5177496.0,812,0.001083919677812773,264.7275780832826,18.0,2.4215261585904804,2.4215261585904804,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,659080,15435294.0,11431110.0,17.763437271118164,4004184.0,665,0.0010089822176351747,226.6888215946972,19.0,2.8547913882072216,2.8547913882072216,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,795173,25811674.0,18749956.0,24.15353775024414,7061719.0,796,0.0010010400252511075,337.7764138839952,17.0,2.655154644357464,2.655154644357464,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,637145,15000284.0,10775226.0,17.32376480102539,4225058.0,662,0.0010390099584850559,252.37792157406534,19.0,2.550314338879478,2.550314338879478,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,622714,16562772.0,12584272.0,20.690431594848633,3978500.0,675,0.0010839647093190711,240.88523142496746,16.0,3.163069498553937,3.163069498553937,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,634587,19789294.0,14261989.0,23.023595809936523,5527305.0,612,0.0009644067716468121,329.6677221659741,19.0,2.5802789967257858,2.5802789967257858,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,696734,13147948.0,9962782.0,14.651947021484375,3185166.0,756,0.0010850625920350017,164.29626277136424,19.0,3.127869002744872,3.127869002744872,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,465102,8218175.0,6302799.0,13.879637718200684,1915376.0,411,0.0008836771288859568,135.69975870137088,18.0,3.2906327530452035,3.2906327530452035,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,519876,11324318.0,8310786.0,16.376609802246094,3013532.0,394,0.000757873031259843,195.91878604404818,19.0,2.7578223825057253,2.7578223825057253,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,946069,22282206.0,15786928.0,17.095781326293945,6495278.0,1005,0.001062290382624246,264.7161298685406,19.0,2.430523835930898,2.430523835930898,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,905846,20453802.0,15207006.0,17.19267463684082,5246796.0,875,0.0009659478542699687,212.82620513916015,19.0,2.8983413877720996,2.8983413877720996,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,1004473,31500388.0,22667560.0,23.11608123779297,8832826.0,975,0.0009706582456661646,334.3407321558243,19.0,2.5662862599124487,2.5662862599124487,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E14,E,14,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE14_Channel405nm Binned,561nm Binned,488nm Binned_Seq0041.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,625085,14902277.0,10764984.0,17.6429443359375,4137293.0,664,0.001062255533245779,253.47171034295874,18.5,2.6019389973099316,2.6019389973099316,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E14,E,14,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE14_Channel405nm Binned,561nm Binned,488nm Binned_Seq0041.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,784818,19650736.0,14518953.0,18.948680877685547,5131784.0,788,0.001004054443194468,237.76451230896305,18.0,2.8292213779841804,2.8292213779841804,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E14,E,14,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE14_Channel405nm Binned,561nm Binned,488nm Binned_Seq0041.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,712245,23149064.0,16812416.0,24.179359436035156,6336648.0,686,0.0009631517244754781,336.47877384552805,19.0,2.6532033971268953,2.6532033971268953,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,839486,20288032.0,14485499.0,17.675827026367188,5802534.0,906,0.0010792318156573437,266.5289129126677,18.0,2.4964091550342493,2.4964091550342493,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,857094,20317484.0,15036409.0,17.96767234802246,5281075.0,880,0.0010267251900012988,231.30836532766168,18.0,2.8472250441429354,2.8472250441429354,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,853038,30627696.0,22916576.0,27.507823944091797,7711120.0,938,0.0010995993144489464,352.8310202982888,16.0,2.9718868335594606,2.9718868335594606,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,E,05,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,1014440,24013276.0,17174744.0,17.33959197998047,6838533.0,1104,0.001088285162255936,258.8167915067811,18.0,2.5114661287731574,2.5114661287731574,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,E,05,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,917328,21785264.0,16168031.0,18.049089431762695,5617234.0,957,0.0010432473444601678,228.11610101681893,17.0,2.8782904539844916,2.8782904539844916,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,E,05,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,964208,35466836.0,26578428.0,28.22984504699707,8888408.0,1030,0.001068234239913931,359.93624956445785,17.0,2.990234921708928,2.990234921708928,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E13,E,13,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE13_Channel405nm Binned,561nm Binned,488nm Binned_Seq0040.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,842745,20829060.0,14913951.0,18.1278133392334,5915109.0,932,0.0011059098541063952,268.14271720591535,18.0,2.521331559570158,2.521331559570158,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E13,E,13,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE13_Channel405nm Binned,561nm Binned,488nm Binned_Seq0040.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,832764,20600302.0,15391729.0,18.931108474731445,5208573.0,854,0.001025500622023736,229.92303751782455,18.0,2.9550759872228043,2.9550759872228043,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E13,E,13,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE13_Channel405nm Binned,561nm Binned,488nm Binned_Seq0040.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,790805,29101096.0,21892002.0,28.35160255432129,7209093.0,843,0.0010660023646776816,349.47752773153684,17.0,3.0367207081385916,3.0367207081385916,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E15,E,15,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE15_Channel405nm Binned,561nm Binned,488nm Binned_Seq0042.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,664402,16066006.0,11610616.0,17.899635314941406,4455390.0,717,0.0010791659266512154,257.1931980404395,18.0,2.6059707455458208,2.6059707455458208,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E15,E,15,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE15_Channel405nm Binned,561nm Binned,488nm Binned_Seq0042.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,626880,14006736.0,10293477.0,16.817951202392578,3713259.0,592,0.0009443593670224854,217.01512386992172,19.0,2.7720869995864086,2.7720869995864086,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E15,E,15,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE15_Channel405nm Binned,561nm Binned,488nm Binned_Seq0042.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,732774,26132542.0,19325064.0,27.007097244262695,6807477.0,712,0.0009716501950110516,351.6166565498609,17.0,2.8387997491577512,2.8387997491577512,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E16,E,16,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE16_Channel405nm Binned,561nm Binned,488nm Binned_Seq0043.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,583583,14011978.0,10090192.0,17.71076011657715,3921786.0,647,0.0011086683470884027,256.2331770553471,17.0,2.5728563465720535,2.5728563465720535,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E16,E,16,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE16_Channel405nm Binned,561nm Binned,488nm Binned_Seq0043.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,518280,12652202.0,9534105.0,18.840652465820312,3118097.0,531,0.0010245427182198337,225.74548992149798,18.0,3.0576678660083196,3.0576678660083196,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E16,E,16,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE16_Channel405nm Binned,561nm Binned,488nm Binned_Seq0043.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,767007,27177988.0,20264116.0,27.05659294128418,6913870.0,825,0.0010756094794427227,349.59714039195666,17.0,2.9309367980591285,2.9309367980591285,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E17,E,17,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE17_Channel405nm Binned,561nm Binned,488nm Binned_Seq0044.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,623518,15552905.0,11002525.0,18.077022552490234,4550380.0,633,0.0010152072594519883,275.1686729925315,19.0,2.4179354251727507,2.4179354251727507,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E17,E,17,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE17_Channel405nm Binned,561nm Binned,488nm Binned_Seq0044.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,517046,11595311.0,8633671.0,17.102102279663086,2961640.0,504,0.0009747682024404506,207.56689701383075,18.0,2.915165583932242,2.915165583932242,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E17,E,17,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE17_Channel405nm Binned,561nm Binned,488nm Binned_Seq0044.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,720917,24551744.0,17942872.0,25.49492835998535,6608871.0,667,0.0009252105304758727,346.85302832745003,20.0,2.7149678061498377,2.7149678061498377,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,F,05,PLD3_TMEM106B_mCherry_primary,site0,8,"260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,635890,13283091.0,10076704.0,16.233373641967773,3206387.0,656,0.001031624966580648,192.1473277487406,21.0,3.1426973724621696,3.1426973724621696,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,F,05,PLD3_TMEM106B_mCherry_primary,site0,12,"260220_Day12_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,664614,10826853.0,8754644.0,13.489913940429688,2072209.0,664,0.0009990761554812282,113.16837514739439,18.0,4.224788136715831,4.224788136715831,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,F,05,PLD3_TMEM106B_mCherry_primary,site0,16,"260224_day16_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,657474,12245055.0,9937679.0,15.481855392456055,2307376.0,656,0.0009977580862498019,130.35475525623414,18.0,4.306917901545172,4.306917901545172,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F08,F,08,PLD3_TMEM106B_mCherry_primary,site0,8,"260216_Day8_iNeurons_WellF08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0051.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,491237,10330196.0,7815372.0,16.29941177368164,2514824.0,505,0.0010280170264026773,192.962806762091,20.0,3.1077212560389484,3.1077212560389484,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
