well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
C13,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,13,"{'y_start': 0, 'y_stop': 1963, 'x_start': 1082, 'x_stop': 2868}"
C13,PLD3_only_no_mCherry,12,488nm Binned,-904.8,0.0,-0.0011993063209156717,-0.0029965348011485324,0.6845188284518829,0.999999999999994,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1963, 'x_start': 1082, 'x_stop': 2868}"
C13,PLD3_only_no_mCherry,16,488nm Binned,0.0,1081.1,0.008202631422445978,0.004042428483473928,0.623047419804742,0.9999999999999903,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1963, 'x_start': 1082, 'x_stop': 2868}"
C12,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 0, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,12,488nm Binned,-585.4,0.0,0.012174772755315935,0.005295419977356196,0.7958856345885634,0.9999999999999933,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 0, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,16,488nm Binned,0.0,-1005.5,0.012688266654123979,-0.01174053957454666,0.6494072524407253,0.9999999999999886,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 0, 'x_stop': 1862}"
C05,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,05,"{'y_start': 258, 'y_stop': 2868, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,12,488nm Binned,0.0,1150.1,0.007425621427481982,0.008005922823027424,0.5989888423988843,0.9999999999999849,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2868, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,16,488nm Binned,257.3,0.0,0.01379682902832281,0.00642206773629498,0.9102859135285913,0.9999999999999737,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2868, 'x_start': 1151, 'x_stop': 2868}"
C06,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,06,"{'y_start': 0, 'y_stop': 2180, 'x_start': 0, 'x_stop': 1826}"
C06,PLD3_only_no_mCherry,12,488nm Binned,-687.3,0.0,0.0035694877752772236,0.018067278615967703,0.7603556485355648,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 0, 'y_stop': 2180, 'x_start': 0, 'x_stop': 1826}"
C06,PLD3_only_no_mCherry,16,488nm Binned,0.0,-1042.0,0.00901849208117491,-0.003695738361132646,0.6366806136680614,0.9999999999999898,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 0, 'y_stop': 2180, 'x_start': 0, 'x_stop': 1826}"
C09,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 0, 'x_stop': 2868}"
C09,PLD3_only_no_mCherry,12,488nm Binned,658.6,0.0,0.005726757222010604,-0.0051615953794574955,0.7703626220362623,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 0, 'x_stop': 2868}"
C09,PLD3_only_no_mCherry,16,488nm Binned,-441.2,0.0,0.013536532797161717,0.0030036276510051318,0.8461645746164576,0.999999999999987,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 0, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,10,"{'y_start': 0, 'y_stop': 2149, 'x_start': 0, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,12,488nm Binned,-147.6,0.0,0.008602001894364298,-0.00016184271256575728,0.9485355648535565,0.9999999999999803,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 0, 'y_stop': 2149, 'x_start': 0, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,16,488nm Binned,-718.9,0.0,0.01570705217187775,0.018965402787440626,0.7493375174337518,0.9999999999999466,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 0, 'y_stop': 2149, 'x_start': 0, 'x_stop': 2868}"
C07,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,07,"{'y_start': 2, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,12,488nm Binned,1.9,0.0,0.06232253023711365,0.06852978992259365,0.9993375174337518,0.9999999999999996,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 2, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,16,488nm Binned,1.0,-921.1,0.06630174275865879,0.029999464300779027,0.6785987324179276,0.9999999999999998,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 2, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1946}"
C08,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,08,"{'y_start': 190, 'y_stop': 2660, 'x_start': 0, 'x_stop': 2868}"
C08,PLD3_only_no_mCherry,12,488nm Binned,-207.2,0.0,-0.003622078047193348,0.011557690627337996,0.9277545327754533,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 190, 'y_stop': 2660, 'x_start': 0, 'x_stop': 2868}"
C08,PLD3_only_no_mCherry,16,488nm Binned,190.0,0.0,0.014867340706625142,0.002017752348514994,0.9337517433751743,0.9999999999999729,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 190, 'y_stop': 2660, 'x_start': 0, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,14,"{'y_start': 235, 'y_stop': 2846, 'x_start': 0, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,12,488nm Binned,-21.6,0.0,0.007667624846779779,0.012630345625831063,0.9924686192468619,0.9999999999999776,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 235, 'y_stop': 2846, 'x_start': 0, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,16,488nm Binned,234.4,0.0,0.01596150300265666,9.941525337393813e-05,0.9182705718270572,0.9999999999999607,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 235, 'y_stop': 2846, 'x_start': 0, 'x_stop': 2868}"
C11,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,11,"{'y_start': 151, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
C11,PLD3_only_no_mCherry,12,488nm Binned,151.0,0.0,0.0028393913192525746,0.004672681630813732,0.947350069735007,0.9999999999999911,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 151, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
C11,PLD3_only_no_mCherry,16,488nm Binned,141.7,0.0,0.003611801025552809,0.004165572450006981,0.9505927475592748,0.9999999999999837,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 151, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
