summary_type,condition,day,wells,observations,qc_pass,qc_total,mean_overlap_fraction,mean_diffuse_to_punctate_ratio,median_diffuse_to_punctate_ratio,mean_puncta_count
registration_qc,PLD3_TMEM106B_mCherry_primary,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,12,48,48,48.0,48.0,0.8156373489074848,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,16,48,48,48.0,48.0,0.8190819676894469,,,
registration_qc,PLD3_TMEM106B_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_no_mCherry,12,48,48,48.0,48.0,0.8245314679218968,,,
registration_qc,PLD3_TMEM106B_no_mCherry,16,48,48,48.0,48.0,0.7888111634123663,,,
registration_qc,PLD3_mCherry_reporter_control,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_mCherry_reporter_control,12,48,48,48.0,48.0,0.8245888540213854,,,
registration_qc,PLD3_mCherry_reporter_control,16,48,48,48.0,48.0,0.8327137087401209,,,
registration_qc,PLD3_only_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_only_no_mCherry,12,48,48,48.0,48.0,0.7833020978614598,,,
registration_qc,PLD3_only_no_mCherry,16,48,48,48.0,48.0,0.7718912904216245,,,
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,8,48,48,,,,3.264539012777648,3.247826313091984,783.6041666666666
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,12,48,48,,,,4.420833993116622,4.373389734189923,738.7708333333334
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,16,48,48,,,,4.531156221242457,4.582895975641752,721.875
mcherry_valid_measurement,PLD3_mCherry_reporter_control,8,48,48,,,,2.548845842208531,2.52121775516021,789.0208333333334
mcherry_valid_measurement,PLD3_mCherry_reporter_control,12,48,48,,,,2.8920900591152843,2.879336064868136,696.1041666666666
mcherry_valid_measurement,PLD3_mCherry_reporter_control,16,48,48,,,,2.783978709803693,2.7803264051192387,758.375
