well,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E05,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,819216,19461488.0,13889946.0,17.36473274230957,5571542.0,926,0.0011303490166193894,261.1282890517562,17.0,2.4930164755102817,2.4930164755102817,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,767593,18402360.0,13544385.0,18.070865631103516,4857975.0,822,0.0010708800106292386,236.06373580412853,17.0,2.7880721905726586,2.7880721905726586,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,814684,29643232.0,22148876.0,27.842010498046875,7494357.0,862,0.001058078960675479,358.26742620977063,18.0,2.9554071149795833,2.9554071149795833,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,920393,31174592.0,23512360.0,26.15308952331543,7662233.0,1091,0.001185363208975747,326.86492262577156,15.0,3.0686041523400465,3.0686041523400465,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,543011,16012991.0,12935854.0,24.348926544189453,3077137.0,869,0.0016003359047945616,242.57466871746664,11.0,4.203860276612903,4.203860276612903,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,791622,31486524.0,24646198.0,31.83745002746582,6840327.0,1201,0.0015171382301129616,354.67302582524,12.0,3.6030730694594566,3.6030730694594566,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE05_Channel405nm Binned,561 nm,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,772428,29856602.0,23203908.0,30.73817253112793,6652694.0,1085,0.0014046616642568567,337.2507092172649,12.0,3.4878964822365965,3.4878964822365965,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,575210,79413864.0,72504432.0,128.97702026367188,6909433.0,801,0.0013925349002948618,482.5477377597461,13.0,10.493542957864923,10.493542957864923,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,788586,35923592.0,28122610.0,36.48236083984375,7800984.0,1088,0.0013796846507528923,394.13669703988467,13.0,3.605008034883342,3.605008034883342,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,8,"260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,171683,3607826.0,2708864.0,16.15987777709961,898962.0,183,0.0010659180000287395,199.42151812777493,18.0,3.0133242561943514,3.0133242561943514,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
