well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,large_shift
E05,PLD3_mCherry_reporter_control,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,
E05,PLD3_mCherry_reporter_control,12,488nm Binned,-524.7,0.0,0.0009767041202637637,0.000429902692293138,0.8170502092050209,0.9999999999999203,True,phase_cross_correlation_on_stable_channel,True
E05,PLD3_mCherry_reporter_control,16,488nm Binned,-83.9,0.0,0.018409225787471794,0.006672656903218372,0.9707461645746165,0.9999999999999645,True,phase_cross_correlation_on_stable_channel,False
E05,PLD3_mCherry_reporter_control,20,488nm Binned,70.2,0.0,0.0021539268430784495,0.01224335996670798,0.9755230125523013,0.9999999999999428,True,phase_cross_correlation_on_stable_channel,False
E05,PLD3_mCherry_reporter_control,25,488nm Binned,-566.0,0.0,0.0028718310601758383,0.0011807510356981635,0.802649930264993,0.9999999999999617,True,phase_cross_correlation_on_stable_channel,True
E05,PLD3_mCherry_reporter_control,29,488nm Binned,35.8,0.0,0.008952765704421753,0.037436261261015125,0.9875174337517433,0.999999999999941,True,phase_cross_correlation_on_stable_channel,False
E05,PLD3_mCherry_reporter_control,32,488nm Binned,-691.8,0.0,0.00033774108224495213,0.00224653849644013,0.7587866108786611,0.9999999999999758,True,phase_cross_correlation_on_stable_channel,True
E05,PLD3_mCherry_reporter_control,36,488nm Binned,0.0,-1374.8,0.00901071114635347,0.0075381356776026195,0.5206415620641562,0.9999999999999927,True,phase_cross_correlation_on_stable_channel,True
E05,PLD3_mCherry_reporter_control,39,488nm Binned,-218.1,0.0,0.00045919189079515554,0.006414094638584293,0.9239539748953975,0.9999999999999126,True,phase_cross_correlation_on_stable_channel,False
F05,PLD3_TMEM106B_mCherry_primary,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,
F05,PLD3_TMEM106B_mCherry_primary,12,488nm Binned,-863.4,0.0,-0.004106967825473243,-0.002613562897013449,0.6989539748953975,0.9999999999999767,True,phase_cross_correlation_on_stable_channel,True
F05,PLD3_TMEM106B_mCherry_primary,16,488nm Binned,0.0,434.8,0.021506714391797636,0.00958500161936851,0.8483960948396094,0.9999999999999822,True,phase_cross_correlation_on_stable_channel,False
F05,PLD3_TMEM106B_mCherry_primary,20,488nm Binned,0.0,-522.8,-0.0010214854839245028,-0.002032028720383354,0.8177126917712692,0.999999999999989,True,phase_cross_correlation_on_stable_channel,True
F05,PLD3_TMEM106B_mCherry_primary,25,488nm Binned,-1020.2,0.0,-0.004034225945838717,-0.002169724813569178,0.6442817294281729,0.9999999999999699,True,phase_cross_correlation_on_stable_channel,True
F05,PLD3_TMEM106B_mCherry_primary,29,488nm Binned,-103.6,0.0,0.0068934402181114835,0.001694252450737231,0.9638772663877266,0.9999999999999738,True,phase_cross_correlation_on_stable_channel,False
F05,PLD3_TMEM106B_mCherry_primary,32,488nm Binned,-273.6,0.0,0.0035098568005518848,0.007903178380472154,0.9046025104602511,0.9999999999999879,True,phase_cross_correlation_on_stable_channel,False
F05,PLD3_TMEM106B_mCherry_primary,36,488nm Binned,0.0,-993.4,-0.002483466081564459,0.0028844420429041118,0.653626220362622,0.999999999999986,True,phase_cross_correlation_on_stable_channel,True
F05,PLD3_TMEM106B_mCherry_primary,39,488nm Binned,1303.6,0.0,-0.0002348361360593972,-0.001259236312901663,0.5454672245467225,0.9999999999999624,True,phase_cross_correlation_on_stable_channel,True
