path,filename,extension,file_size_bytes,modified_time,inferred_well,inferred_day_timepoint,inferred_channel,inferred_site_fov_tile,parse_confidence
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49692672,2026-02-16T07:51:26,E05,8,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260220_085237_196/260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49692672,2026-02-20T07:59:40,E05,12,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260224_090320_759/260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49692672,2026-02-24T08:10:10,E05,16,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260228_090815_318/260228_day20_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260228_day20_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49692672,2026-02-28T08:15:12,E05,20,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260305_171612_406/260305_day25_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260305_day25_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49688576,2026-03-05T16:22:58,E05,25,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260309_090353_210/260309_Day29_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260309_Day29_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49688576,2026-03-09T08:10:42,E05,29,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260312_083635_497/260312_Day32_WellE05_Channel405nm Binned,561 nm,488nm Binned_Seq0032.nd2","260312_Day32_WellE05_Channel405nm Binned,561 nm,488nm Binned_Seq0032.nd2",.nd2,49688576,2026-03-12T07:43:18,E05,32,405nm Binned|561 nm|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260316_093139_667/260316_Day36_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260316_Day36_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49700864,2026-03-16T08:38:28,E05,36,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260319_083746_585/260319_Day39_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2","260319_Day39_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",.nd2,49692672,2026-03-19T07:44:42,E05,39,405nm Binned|561nm Binned|488nm Binned,Seq0032,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49692672,2026-02-16T07:54:36,F05,8,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260220_085237_196/260220_Day12_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260220_Day12_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49692672,2026-02-20T08:02:50,F05,12,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260224_090320_759/260224_day16_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260224_day16_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49692672,2026-02-24T08:13:20,F05,16,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260228_090815_318/260228_day20_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260228_day20_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49692672,2026-02-28T08:18:22,F05,20,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260305_171612_406/260305_day25_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260305_day25_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49688576,2026-03-05T16:26:06,F05,25,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260309_090353_210/260309_Day29_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260309_Day29_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49688576,2026-03-09T08:13:50,F05,29,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260312_083635_497/260312_Day32_WellF05_Channel405nm Binned,561 nm,488nm Binned_Seq0048.nd2","260312_Day32_WellF05_Channel405nm Binned,561 nm,488nm Binned_Seq0048.nd2",.nd2,49688576,2026-03-12T07:46:24,F05,32,405nm Binned|561 nm|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260316_093139_667/260316_Day36_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260316_Day36_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49700864,2026-03-16T08:41:34,F05,36,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
"/Users/pmihack/claire/tmem_2026/data/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260319_083746_585/260319_Day39_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2","260319_Day39_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",.nd2,49692672,2026-03-19T07:47:50,F05,39,405nm Binned|561nm Binned|488nm Binned,Seq0048,high
