experiment,method,config,to_first,anchored,delta_anchored_minus_first
E1_baseline,A_cli,stride2,0.111,0.145,0.034
E1_baseline,A_cli,stride3,0.111,0.096,-0.015
E1_baseline,A_cli,stride4,0.111,0.118,0.007
E1_baseline,A_cli,corr0.3,0.111,0.111,0.0
E1_baseline,A_cli,corr0.5,0.111,0.111,0.0
E1_baseline,A_cli,corr0.7,0.111,0.111,0.0
E1_baseline,B_pilot,stride2,0.355,0.42,0.066
E1_baseline,B_pilot,stride3,0.355,0.404,0.05
E1_baseline,B_pilot,stride4,0.355,0.394,0.04
E1_baseline,B_pilot,corr0.3,0.355,0.355,0.0
E1_baseline,B_pilot,corr0.5,0.355,0.355,0.0
E1_baseline,B_pilot,corr0.7,0.355,0.355,0.0
E1_baseline,stable_subpixel,stride2,0.148,0.147,-0.001
E1_baseline,stable_subpixel,stride3,0.148,0.143,-0.005
E1_baseline,stable_subpixel,stride4,0.148,0.149,0.001
E1_baseline,stable_subpixel,corr0.3,0.148,0.148,0.0
E1_baseline,stable_subpixel,corr0.5,0.148,0.148,0.0
E1_baseline,stable_subpixel,corr0.7,0.148,0.148,0.0
E5_drift,A_cli,stride2,0.106,0.112,0.006
E5_drift,A_cli,stride3,0.106,0.104,-0.002
E5_drift,A_cli,stride4,0.106,0.103,-0.003
E5_drift,A_cli,corr0.3,0.106,0.106,0.0
E5_drift,A_cli,corr0.5,0.106,0.106,0.0
E5_drift,A_cli,corr0.7,0.106,0.106,0.0
E5_drift,B_pilot,stride2,0.387,0.522,0.135
E5_drift,B_pilot,stride3,0.387,0.456,0.069
E5_drift,B_pilot,stride4,0.387,0.398,0.011
E5_drift,B_pilot,corr0.3,0.387,0.387,0.0
E5_drift,B_pilot,corr0.5,0.387,0.387,0.0
E5_drift,B_pilot,corr0.7,0.387,0.387,0.0
E5_drift,stable_subpixel,stride2,0.154,0.15,-0.004
E5_drift,stable_subpixel,stride3,0.154,0.152,-0.002
E5_drift,stable_subpixel,stride4,0.154,0.143,-0.011
E5_drift,stable_subpixel,corr0.3,0.154,0.154,0.0
E5_drift,stable_subpixel,corr0.5,0.154,0.154,0.0
E5_drift,stable_subpixel,corr0.7,0.154,0.154,0.0
E6_decorrelation,A_cli,stride2,38.635,54.771,16.137
E6_decorrelation,A_cli,stride3,38.635,60.641,22.007
E6_decorrelation,A_cli,stride4,38.635,41.129,2.494
E6_decorrelation,A_cli,corr0.3,38.635,29.672,-8.963
E6_decorrelation,A_cli,corr0.5,38.635,29.672,-8.963
E6_decorrelation,A_cli,corr0.7,38.635,37.542,-1.092
E6_decorrelation,B_pilot,stride2,2.569,2.238,-0.331
E6_decorrelation,B_pilot,stride3,2.569,1.763,-0.807
E6_decorrelation,B_pilot,stride4,2.569,2.456,-0.114
E6_decorrelation,B_pilot,corr0.3,2.569,2.569,0.0
E6_decorrelation,B_pilot,corr0.5,2.569,2.569,0.0
E6_decorrelation,B_pilot,corr0.7,2.569,2.569,0.0
E6_decorrelation,stable_subpixel,stride2,69.047,101.227,32.179
E6_decorrelation,stable_subpixel,stride3,69.047,91.514,22.467
E6_decorrelation,stable_subpixel,stride4,69.047,77.683,8.635
E6_decorrelation,stable_subpixel,corr0.3,69.047,64.2,-4.847
E6_decorrelation,stable_subpixel,corr0.5,69.047,64.2,-4.847
E6_decorrelation,stable_subpixel,corr0.7,69.047,64.2,-4.847
