well,condition,day,shift_disagreement_px
C05,unknown,8,0.0
C05,unknown,12,1282.305439433211
C05,unknown,16,282.9011134654652
C05,unknown,20,168.9251017463065
C05,unknown,25,368.3294856510947
C05,unknown,29,907.8288440008943
C05,unknown,32,411.34807645107566
C05,unknown,36,407.16951015516867
C05,unknown,39,1124.7313279179166
E05,PLD3_mCherry_reporter_control,8,0.0
E05,PLD3_mCherry_reporter_control,12,498.89927841198573
E05,PLD3_mCherry_reporter_control,16,67.60177512462228
E05,PLD3_mCherry_reporter_control,20,150.2844303312888
E05,PLD3_mCherry_reporter_control,25,640.7
E05,PLD3_mCherry_reporter_control,29,30.120424963801558
E05,PLD3_mCherry_reporter_control,32,1204.1214058391288
E05,PLD3_mCherry_reporter_control,36,1190.9299937443845
E05,PLD3_mCherry_reporter_control,39,1118.3022847155414
F05,PLD3_TMEM106B_mCherry_primary,8,0.0
F05,PLD3_TMEM106B_mCherry_primary,12,828.8505836397776
F05,PLD3_TMEM106B_mCherry_primary,16,465.2681914767009
F05,PLD3_TMEM106B_mCherry_primary,20,375.9330259501019
F05,PLD3_TMEM106B_mCherry_primary,25,1097.2
F05,PLD3_TMEM106B_mCherry_primary,29,162.4896612095674
F05,PLD3_TMEM106B_mCherry_primary,32,794.8737321109561
F05,PLD3_TMEM106B_mCherry_primary,36,1261.2679968983593
F05,PLD3_TMEM106B_mCherry_primary,39,2750.1540120509612
I05,PLD3_mCherry_reporter_control,8,0.0
I05,PLD3_mCherry_reporter_control,12,511.37900817299885
I05,PLD3_mCherry_reporter_control,16,1118.4163983061048
I05,PLD3_mCherry_reporter_control,20,808.1733786756404
I05,PLD3_mCherry_reporter_control,25,770.0
I05,PLD3_mCherry_reporter_control,29,262.09799694007586
I05,PLD3_mCherry_reporter_control,32,1379.9323026873456
I05,PLD3_mCherry_reporter_control,36,140.01646331771133
I05,PLD3_mCherry_reporter_control,39,1446.2700301119428
J05,PLD3_TMEM106B_mCherry_primary,8,0.0
J05,PLD3_TMEM106B_mCherry_primary,12,431.7568876115354
J05,PLD3_TMEM106B_mCherry_primary,16,721.1665896309951
J05,PLD3_TMEM106B_mCherry_primary,20,741.1546464807464
J05,PLD3_TMEM106B_mCherry_primary,25,933.5641863310739
J05,PLD3_TMEM106B_mCherry_primary,29,493.43895265777303
J05,PLD3_TMEM106B_mCherry_primary,32,1304.8769635486713
J05,PLD3_TMEM106B_mCherry_primary,36,899.7093086102867
J05,PLD3_TMEM106B_mCherry_primary,39,2080.6907242548086
M20,PLD3_mCherry_reporter_control,8,0.0
M20,PLD3_mCherry_reporter_control,12,190.18362179746183
M20,PLD3_mCherry_reporter_control,16,243.28380546185147
M20,PLD3_mCherry_reporter_control,20,1464.3194460226225
M20,PLD3_mCherry_reporter_control,25,70.11198185759693
M20,PLD3_mCherry_reporter_control,29,366.39297209417106
M20,PLD3_mCherry_reporter_control,32,1545.9647602710743
M20,PLD3_mCherry_reporter_control,36,1026.422374074143
M20,PLD3_mCherry_reporter_control,39,575.9720132089752
N20,PLD3_TMEM106B_mCherry_primary,8,0.0
N20,PLD3_TMEM106B_mCherry_primary,12,802.9659332748805
N20,PLD3_TMEM106B_mCherry_primary,16,1036.9702117225931
N20,PLD3_TMEM106B_mCherry_primary,20,200.36576553892635
N20,PLD3_TMEM106B_mCherry_primary,25,706.133478883419
N20,PLD3_TMEM106B_mCherry_primary,29,89.38282832848824
N20,PLD3_TMEM106B_mCherry_primary,32,1107.9133630388253
N20,PLD3_TMEM106B_mCherry_primary,36,2408.9347043869825
N20,PLD3_TMEM106B_mCherry_primary,39,1940.5535395860636
