well,condition,day,method,t,dy,dx,post_corr,overlap
C05,unknown,8,A_cli,0,0.0,0.0,1.0,1.0
C05,unknown,12,A_cli,1,0.0,1149.8,0.009128153443228162,0.5990934449093446
C05,unknown,16,A_cli,2,257.2,0.0,0.00271074930227598,0.9103207810320781
C05,unknown,20,A_cli,3,-80.7,0.0,0.003544569834227365,0.9718619246861925
C05,unknown,25,A_cli,4,-294.1,0.0,-0.004741419920622739,0.8974546722454673
C05,unknown,29,A_cli,5,0.0,894.1,0.005155715464084702,0.6882496513249652
C05,unknown,32,A_cli,6,133.8,0.0,0.0014852261941446679,0.953347280334728
C05,unknown,36,A_cli,7,0.0,219.1,0.005446153682558438,0.92360529986053
C05,unknown,39,A_cli,8,-226.6,0.0,-0.006183892348614457,0.9209902370990237
C05,unknown,8,B_pilot,0,0.0,0.0,1.0,1.0
C05,unknown,12,B_pilot,1,-36.0,-132.0,0.17881323206136665,0.9420003151205336
C05,unknown,16,B_pilot,2,-23.0,-39.0,0.15969547342256124,0.9784911999673208
C05,unknown,20,B_pilot,3,-7.0,-152.0,0.11884951938445538,0.9446900244899229
C05,unknown,25,B_pilot,4,74.0,13.0,0.09671533380745677,0.9697822264238294
C05,unknown,29,B_pilot,5,56.0,-12.0,0.09183392206426853,0.9763717955451293
C05,unknown,32,B_pilot,6,507.0,-173.0,0.05968008315200392,0.7735643779579022
C05,unknown,36,B_pilot,7,-41.0,-186.0,0.06473941171641147,0.9217778925438981
C05,unknown,39,B_pilot,8,890.0,-135.0,0.03748155422501224,0.6572152389955824
C05,unknown,8,stable_subpixel,0,0.0,0.0,1.0,1.0
C05,unknown,12,stable_subpixel,1,-920.0,919.0,-0.00025376900241074065,0.4615752330822095
C05,unknown,16,stable_subpixel,2,921.05,0.95,0.005819194250238746,0.6786279950431735
C05,unknown,20,stable_subpixel,3,0.15,0.15,-0.0016658586079108357,0.999895400224961
C05,unknown,25,stable_subpixel,4,-0.9,918.85,0.0037138703049350357,0.6794066743550241
C05,unknown,29,stable_subpixel,5,0.15,1.0,0.006524078119958329,0.9995990419460444
C05,unknown,32,stable_subpixel,6,0.95,-920.1,-0.009178675239541094,0.6789591266055099
C05,unknown,36,stable_subpixel,7,1.0,-920.75,-0.017200926264822353,0.6787207261291333
C05,unknown,39,stable_subpixel,8,-0.15,0.3,0.0038554049062156587,0.9998431017051521
E05,PLD3_mCherry_reporter_control,8,A_cli,0,0.0,0.0,1.0,1.0
E05,PLD3_mCherry_reporter_control,12,A_cli,1,-524.7,0.0,0.006077600581086992,0.8170502092050209
E05,PLD3_mCherry_reporter_control,16,A_cli,2,-84.0,0.0,0.007315849672014644,0.9707112970711297
E05,PLD3_mCherry_reporter_control,20,A_cli,3,70.1,0.0,0.010181802556464952,0.975557880055788
E05,PLD3_mCherry_reporter_control,25,A_cli,4,-565.7,0.0,0.007296476454325604,0.8027545327754533
E05,PLD3_mCherry_reporter_control,29,A_cli,5,35.8,0.0,0.0323526699808576,0.9875174337517433
E05,PLD3_mCherry_reporter_control,32,A_cli,6,-691.6,0.0,0.008054306263470644,0.7588563458856347
E05,PLD3_mCherry_reporter_control,36,A_cli,7,0.0,-1340.5,0.0012808256317021103,0.5326011157601116
E05,PLD3_mCherry_reporter_control,39,A_cli,8,-218.0,0.0,0.010167319802235614,0.9239888423988842
