experiment,method,to_first,to_previous,delta_prev_minus_first
E1_baseline,A_cli,0.1112,0.1419,0.0307
E1_baseline,B_pilot,0.3546,0.6134,0.2588
E1_baseline,stable_subpixel,0.1483,0.1569,0.0086
E2_sparse,A_cli,6.0177,6.0177,0.0
E2_sparse,B_pilot,0.3713,0.7485,0.3772
E2_sparse,stable_subpixel,0.4361,0.9558,0.5197
E3_mcherry,A_cli,6.1921,6.2286,0.0365
E3_mcherry,B_pilot,0.0,0.0,0.0
E3_mcherry,stable_subpixel,0.0,0.0,0.0
E4_gradient,A_cli,0.1613,3.9159,3.7546
E4_gradient,B_pilot,0.3883,0.604,0.2157
E4_gradient,stable_subpixel,0.157,0.1585,0.0015
E5_drift,A_cli,0.1059,0.138,0.0321
E5_drift,B_pilot,0.3868,0.5393,0.1525
E5_drift,stable_subpixel,0.1538,0.1494,-0.0045
E6_decorrelation,A_cli,38.6348,58.4354,19.8006
E6_decorrelation,B_pilot,2.5693,2.2147,-0.3546
E6_decorrelation,stable_subpixel,69.0475,137.0432,67.9957
