well,row_letter,row_idx,col,stage_x_um,stage_y_um,stage_z_um,source,file,px_um_x,px_um_y
C05,C,0,5,34269.200000000004,-24981.800000000003,100.8765,frame_metadata,"260216_Day8_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",0.647675729472532,0.647675729472532
C20,C,0,20,-33230.4,-25147.300000000003,100.8765,frame_metadata,"260216_Day8_iNeurons_WellC20_Channel405nm Binned,561nm Binned,488nm Binned_Seq0015.nd2",0.647675729472532,0.647675729472532
N05,N,11,5,34117.6,24511.9,100.8765,frame_metadata,"260216_Day8_iNeurons_WellN05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0176.nd2",0.647675729472532,0.647675729472532
N20,N,11,20,-33362.4,24339.300000000003,100.8765,frame_metadata,"260216_Day8_iNeurons_WellN20_Channel405nm Binned,561nm Binned,488nm Binned_Seq0191.nd2",0.647675729472532,0.647675729472532
F05,F,3,5,34227.9,-11479.900000000001,100.8765,frame_metadata,"260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",0.647675729472532,0.647675729472532
I05,I,6,5,34186.6,2018.7,100.8765,frame_metadata,"260216_Day8_iNeurons_WellI05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0096.nd2",0.647675729472532,0.647675729472532
M05,M,10,5,34131.6,20013.5,100.8765,frame_metadata,"260216_Day8_iNeurons_WellM05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0160.nd2",0.647675729472532,0.647675729472532
F20,F,3,20,-33266.4,-11648.2,100.8765,frame_metadata,"260216_Day8_iNeurons_WellF20_Channel405nm Binned,561nm Binned,488nm Binned_Seq0063.nd2",0.647675729472532,0.647675729472532
I20,I,6,20,-33302.4,1848.7,100.8765,frame_metadata,"260216_Day8_iNeurons_WellI20_Channel405nm Binned,561nm Binned,488nm Binned_Seq0111.nd2",0.647675729472532,0.647675729472532
M20,M,10,20,-33350.4,19841.800000000003,100.8765,frame_metadata,"260216_Day8_iNeurons_WellM20_Channel405nm Binned,561nm Binned,488nm Binned_Seq0175.nd2",0.647675729472532,0.647675729472532
H12,H,5,12,2702.5,-2560.3,100.8765,frame_metadata,"260216_Day8_iNeurons_WellH12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0087.nd2",0.647675729472532,0.647675729472532
K12,K,8,12,2663.7000000000003,10936.300000000001,100.8765,frame_metadata,"260216_Day8_iNeurons_WellK12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0135.nd2",0.647675729472532,0.647675729472532
