experiment,method,median_err,p90_err,pass_rate
E1_baseline,A_cli,0.1112,0.1292,1.0
E1_baseline,B_pilot,0.3546,0.4053,1.0
E1_baseline,stable_subpixel,0.1483,0.1591,1.0
E2_sparse,A_cli,6.0177,7.1207,0.0
E2_sparse,B_pilot,0.3713,0.428,1.0
E2_sparse,stable_subpixel,0.4361,0.5751,1.0
E3_mcherry,A_cli,6.1921,6.7343,0.0
E3_mcherry,B_pilot,0.0,0.0,1.0
E3_mcherry,stable_subpixel,0.0,0.0,1.0
E4_gradient,A_cli,0.1613,1.253,0.9
E4_gradient,B_pilot,0.3883,0.4515,1.0
E4_gradient,stable_subpixel,0.157,0.1708,1.0
E5_drift,A_cli,0.1059,0.1208,1.0
E5_drift,B_pilot,0.3868,0.4338,1.0
E5_drift,stable_subpixel,0.1538,0.1665,1.0
E6_decorrelation,A_cli,38.6348,54.0354,0.0
E6_decorrelation,B_pilot,2.5693,4.6053,0.4
E6_decorrelation,stable_subpixel,69.0475,79.2161,0.0
